id,smartphone_brand,smartphone_model,product_category,cost
152,Google,ZenFone 8,Electronics,166139
153,Apple,Nokia 8.3,Mobile Device,150325
154,Sony,Xperia 1 II,Mobile Device,42413
155,Xiaomi,Galaxy S21,Electronics,8439
156,Samsung,Galaxy S21,Smartphone,8534
157,OnePlus,LG V60 ThinQ,Electronics,194366
158,Samsung,Moto G Power,Smartphone,128365
159,Motorola,Mi 11,Smartphone,13520
160,Apple,ZenFone 8,Smartphone,110762
161,LG,Mi 11,Electronics,27531
162,Apple,Nokia 8.3,Mobile Device,108926
163,Sony,Xperia 1 II,Smartphone,122980
164,Nokia,Xperia 1 II,Mobile Device,22595
165,Nokia,iPhone 12,Mobile Device,38210
166,Motorola,Nokia 8.3,Smartphone,159793
167,OnePlus,Mi 11,Smartphone,166760
168,Apple,ZenFone 8,Smartphone,109454
169,Samsung,iPhone 12,Smartphone,68527
170,LG,Nokia 8.3,Smartphone,82383
171,Motorola,ZenFone 8,Smartphone,146617
172,LG,Mi 11,Mobile Device,167593
173,Samsung,ZenFone 8,Electronics,42967
174,Xiaomi,Nokia 8.3,Electronics,85825
175,Xiaomi,Pixel 5,Electronics,58027
176,Xiaomi,Galaxy S21,Smartphone,163954
177,Apple,ZenFone 8,Mobile Device,179248
178,Sony,Pixel 5,Mobile Device,160955
179,Nokia,ZenFone 8,Mobile Device,89614
180,LG,ZenFone 8,Smartphone,142027
181,LG,Nokia 8.3,Smartphone,7765
182,Sony,Pixel 5,Smartphone,143971
183,Huawei,iPhone 12,Mobile Device,121536
184,Sony,Moto G Power,Electronics,68392
185,Google,Xperia 1 II,Mobile Device,57301
186,Sony,Nokia 8.3,Smartphone,68475
187,Samsung,Galaxy S21,Mobile Device,174952
188,Xiaomi,OnePlus 9,Electronics,142205
189,OnePlus,OnePlus 9,Electronics,112646
190,Xiaomi,Pixel 5,Mobile Device,7316
191,OnePlus,iPhone 12,Smartphone,184288
192,LG,Mi 11,Electronics,8900
193,Motorola,Moto G Power,Electronics,45192
194,Google,Pixel 5,Electronics,136577
195,Nokia,Moto G Power,Mobile Device,192580
196,Samsung,ZenFone 8,Electronics,19830
197,Google,Mi 11,Smartphone,94744
198,Huawei,Pixel 5,Smartphone,154610
199,Xiaomi,Pixel 5,Electronics,32726
200,Google,Moto G Power,Smartphone,44458
201,OnePlus,Galaxy S21,Smartphone,7137
202,Sony,Xperia 1 II,Smartphone,69543
203,Google,Galaxy S21,Smartphone,138043
204,Motorola,iPhone 12,Electronics,187789
205,LG,Nokia 8.3,Smartphone,128818
206,Apple,OnePlus 9,Smartphone,194201
207,Motorola,OnePlus 9,Smartphone,32810
208,Nokia,LG V60 ThinQ,Smartphone,140341
209,LG,Pixel 5,Electronics,21900
210,Xiaomi,OnePlus 9,Electronics,27551
211,Motorola,Pixel 5,Mobile Device,177863
212,Huawei,OnePlus 9,Mobile Device,9773
213,Apple,Xperia 1 II,Mobile Device,182693
214,Google,Mi 11,Smartphone,52737
215,Motorola,Nokia 8.3,Smartphone,184731
216,Nokia,Galaxy S21,Smartphone,45065
217,OnePlus,Xperia 1 II,Mobile Device,167021
218,Sony,ZenFone 8,Mobile Device,158170
219,Sony,iPhone 12,Smartphone,49128
220,Sony,Mi 11,Electronics,132170
221,Motorola,OnePlus 9,Smartphone,167387
222,Huawei,OnePlus 9,Smartphone,132656
223,LG,LG V60 ThinQ,Mobile Device,166513
224,Sony,Mi 11,Mobile Device,48496
225,OnePlus,iPhone 12,Smartphone,190524
226,Xiaomi,Mi 11,Smartphone,81792
227,Samsung,Xperia 1 II,Electronics,48584
228,Nokia,OnePlus 9,Smartphone,95785
229,OnePlus,iPhone 12,Mobile Device,131723
230,Xiaomi,ZenFone 8,Electronics,198238
231,Apple,ZenFone 8,Smartphone,148702
232,LG,Nokia 8.3,Smartphone,38220
233,LG,Pixel 5,Smartphone,52310
234,Samsung,Pixel 5,Mobile Device,31941
235,Apple,OnePlus 9,Smartphone,145256
236,Apple,Moto G Power,Smartphone,48362
237,OnePlus,LG V60 ThinQ,Mobile Device,33849
238,Apple,Moto G Power,Mobile Device,36867
239,Apple,Moto G Power,Mobile Device,151635
240,Apple,Moto G Power,Mobile Device,111786
241,Xiaomi,Nokia 8.3,Electronics,89068
242,OnePlus,Mi 11,Smartphone,49982
243,Google,iPhone 12,Smartphone,153180
244,Nokia,iPhone 12,Mobile Device,195804
245,OnePlus,Nokia 8.3,Smartphone,63710
246,OnePlus,Nokia 8.3,Smartphone,106447
247,OnePlus,ZenFone 8,Electronics,106652
248,Apple,Mi 11,Mobile Device,68111
249,Nokia,Moto G Power,Smartphone,187590
250,LG,Xperia 1 II,Smartphone,56767
251,Samsung,Pixel 5,Mobile Device,71849
252,Sony,Galaxy S21,Electronics,180597
253,Motorola,LG V60 ThinQ,Smartphone,52012
254,Samsung,iPhone 12,Smartphone,156272
255,Xiaomi,Xperia 1 II,Electronics,183938
256,Samsung,iPhone 12,Smartphone,23665
257,Xiaomi,ZenFone 8,Mobile Device,43670
258,Huawei,ZenFone 8,Mobile Device,103951
259,Motorola,Mi 11,Smartphone,102659
260,Nokia,Pixel 5,Smartphone,181103
261,Motorola,Galaxy S21,Smartphone,25282
262,Samsung,Galaxy S21,Mobile Device,118926
263,Google,Galaxy S21,Electronics,137801
264,Huawei,Xperia 1 II,Electronics,16032
265,OnePlus,Nokia 8.3,Electronics,199337
266,Xiaomi,Pixel 5,Electronics,57902
267,LG,Galaxy S21,Mobile Device,114542
268,LG,LG V60 ThinQ,Smartphone,67549
269,Samsung,LG V60 ThinQ,Mobile Device,138324
270,OnePlus,Galaxy S21,Smartphone,139069
271,Apple,Moto G Power,Electronics,100829
272,Samsung,Galaxy S21,Smartphone,134013
273,Huawei,Nokia 8.3,Smartphone,67211
274,Sony,Mi 11,Mobile Device,32362
275,Sony,Nokia 8.3,Mobile Device,58367
276,Motorola,Moto G Power,Mobile Device,150503
277,Samsung,ZenFone 8,Electronics,74841
278,Sony,Galaxy S21,Smartphone,126597
279,Motorola,Pixel 5,Smartphone,132592
280,Google,OnePlus 9,Smartphone,178031
281,Google,Nokia 8.3,Smartphone,63419
282,Samsung,Galaxy S21,Electronics,102343
283,Xiaomi,Moto G Power,Electronics,36579
284,Motorola,OnePlus 9,Smartphone,125435
285,Xiaomi,Pixel 5,Electronics,39708
286,Apple,Xperia 1 II,Electronics,153029
287,Google,Xperia 1 II,Mobile Device,33887
288,Nokia,iPhone 12,Mobile Device,159647
289,Motorola,Mi 11,Mobile Device,99145
290,Apple,Nokia 8.3,Smartphone,13266
291,Nokia,OnePlus 9,Smartphone,86395
292,Nokia,LG V60 ThinQ,Mobile Device,93125
293,Apple,Pixel 5,Smartphone,88767
294,Xiaomi,Xperia 1 II,Mobile Device,110684
295,Motorola,ZenFone 8,Mobile Device,71453
296,Google,LG V60 ThinQ,Smartphone,10983
297,Motorola,OnePlus 9,Mobile Device,182514
298,OnePlus,Pixel 5,Electronics,186364
299,Motorola,Pixel 5,Mobile Device,110407
300,Nokia,iPhone 12,Mobile Device,169903
301,Motorola,LG V60 ThinQ,Electronics,106202
302,Samsung,Xperia 1 II,Electronics,189626
303,Sony,iPhone 12,Mobile Device,81824
304,Samsung,Mi 11,Mobile Device,32951
305,Samsung,Moto G Power,Mobile Device,158548
306,Sony,ZenFone 8,Mobile Device,133001
307,Samsung,LG V60 ThinQ,Smartphone,28342
308,Motorola,Galaxy S21,Electronics,122860
309,Xiaomi,OnePlus 9,Mobile Device,168055
310,Sony,Pixel 5,Electronics,135123
311,Nokia,Pixel 5,Electronics,7785
312,Xiaomi,Galaxy S21,Electronics,161161
313,Xiaomi,Moto G Power,Mobile Device,57128
314,OnePlus,OnePlus 9,Smartphone,58507
315,Motorola,OnePlus 9,Electronics,112130
316,Apple,Pixel 5,Smartphone,70481
317,Huawei,Pixel 5,Smartphone,74256
318,LG,iPhone 12,Mobile Device,11327
319,Nokia,LG V60 ThinQ,Mobile Device,153437
320,Nokia,Galaxy S21,Mobile Device,40325
321,Motorola,OnePlus 9,Electronics,160890
322,Nokia,ZenFone 8,Electronics,133394
323,Nokia,Nokia 8.3,Smartphone,138096
324,Huawei,ZenFone 8,Mobile Device,107428
325,OnePlus,OnePlus 9,Mobile Device,163715
326,LG,OnePlus 9,Smartphone,27320
327,Google,OnePlus 9,Smartphone,123341
328,Google,Mi 11,Smartphone,45292
329,Motorola,iPhone 12,Smartphone,153941
330,Huawei,Moto G Power,Electronics,136813
331,Huawei,ZenFone 8,Smartphone,82358
332,Motorola,Nokia 8.3,Mobile Device,33977
333,Google,ZenFone 8,Smartphone,119587
334,LG,iPhone 12,Mobile Device,32071
335,Nokia,Nokia 8.3,Smartphone,123005
336,Motorola,Mi 11,Smartphone,23483
337,LG,OnePlus 9,Smartphone,123267
338,Google,OnePlus 9,Smartphone,113215
339,LG,ZenFone 8,Mobile Device,69293
340,Xiaomi,Nokia 8.3,Smartphone,32152
341,Xiaomi,Galaxy S21,Smartphone,46033
342,OnePlus,ZenFone 8,Mobile Device,7839
343,Sony,LG V60 ThinQ,Electronics,103886
344,LG,Moto G Power,Mobile Device,190861
345,Sony,iPhone 12,Mobile Device,29633
346,Sony,Galaxy S21,Electronics,107056
347,Samsung,Pixel 5,Electronics,29459
348,Sony,LG V60 ThinQ,Mobile Device,76698
349,Samsung,OnePlus 9,Smartphone,95227
350,Nokia,ZenFone 8,Mobile Device,157509
351,Xiaomi,Mi 11,Electronics,23454
352,Xiaomi,Mi 11,Electronics,80949
353,Xiaomi,Galaxy S21,Electronics,176213
354,LG,Mi 11,Electronics,46476
355,LG,Moto G Power,Mobile Device,116773
356,Apple,Moto G Power,Electronics,14792
357,Apple,iPhone 12,Mobile Device,57922
358,Xiaomi,Nokia 8.3,Smartphone,54796
359,Sony,iPhone 12,Electronics,100123
360,Huawei,Xperia 1 II,Electronics,115360
361,Sony,Moto G Power,Smartphone,189100
362,LG,LG V60 ThinQ,Mobile Device,103073
363,Motorola,Mi 11,Smartphone,34089
364,Xiaomi,Galaxy S21,Electronics,123553
365,Apple,ZenFone 8,Mobile Device,179367
366,Google,Moto G Power,Mobile Device,102453
367,Google,Nokia 8.3,Electronics,15202
368,Xiaomi,Moto G Power,Mobile Device,168136
369,LG,Xperia 1 II,Mobile Device,65574
370,Samsung,Galaxy S21,Mobile Device,157348
371,Google,Xperia 1 II,Electronics,109440
372,Xiaomi,iPhone 12,Smartphone,119944
373,Apple,Nokia 8.3,Electronics,125201
374,OnePlus,Nokia 8.3,Smartphone,198986
375,Huawei,LG V60 ThinQ,Smartphone,21049
376,Samsung,OnePlus 9,Mobile Device,8194
377,Samsung,ZenFone 8,Mobile Device,177241
378,Nokia,Pixel 5,Smartphone,24615
379,Huawei,Pixel 5,Mobile Device,10189
380,LG,Galaxy S21,Smartphone,148475
381,Motorola,Moto G Power,Mobile Device,80893
382,Motorola,Moto G Power,Mobile Device,88416
383,Huawei,ZenFone 8,Electronics,43723
384,Huawei,OnePlus 9,Mobile Device,176239
385,Apple,ZenFone 8,Mobile Device,134672
386,Samsung,ZenFone 8,Mobile Device,120874
387,Sony,ZenFone 8,Smartphone,71066
388,Nokia,iPhone 12,Electronics,40056
389,Sony,OnePlus 9,Smartphone,193913
390,Sony,OnePlus 9,Mobile Device,38200
391,OnePlus,Nokia 8.3,Smartphone,111327
392,Apple,Galaxy S21,Electronics,46140
393,Xiaomi,ZenFone 8,Smartphone,150785
394,LG,Galaxy S21,Electronics,29571
395,Huawei,iPhone 12,Mobile Device,27366
396,Huawei,Nokia 8.3,Smartphone,21911
397,OnePlus,Galaxy S21,Mobile Device,32770
398,OnePlus,Nokia 8.3,Mobile Device,100254
399,Sony,Pixel 5,Smartphone,114792
400,Sony,iPhone 12,Mobile Device,52526
401,Apple,ZenFone 8,Electronics,60385
402,LG,Nokia 8.3,Mobile Device,31117
403,Google,Galaxy S21,Smartphone,158890
404,Google,ZenFone 8,Mobile Device,70107
405,Apple,OnePlus 9,Mobile Device,133252
406,Google,Moto G Power,Smartphone,44931
407,Xiaomi,Pixel 5,Electronics,164827
408,LG,ZenFone 8,Electronics,102673
409,Sony,ZenFone 8,Mobile Device,30888
410,Sony,OnePlus 9,Electronics,71493
411,Xiaomi,Mi 11,Smartphone,43941
412,OnePlus,Galaxy S21,Smartphone,95517
413,Samsung,LG V60 ThinQ,Smartphone,173789
414,Google,iPhone 12,Smartphone,16770
415,Sony,Nokia 8.3,Mobile Device,181877
416,OnePlus,iPhone 12,Electronics,130456
417,Sony,Xperia 1 II,Electronics,168871
418,Apple,Pixel 5,Mobile Device,162927
419,OnePlus,Mi 11,Electronics,127203
420,Motorola,iPhone 12,Mobile Device,176351
421,Motorola,Galaxy S21,Electronics,31863
422,Google,ZenFone 8,Smartphone,81940
423,Nokia,OnePlus 9,Electronics,180878
424,Apple,LG V60 ThinQ,Smartphone,105119
425,Sony,Mi 11,Smartphone,41992
426,Motorola,OnePlus 9,Mobile Device,154644
427,Huawei,iPhone 12,Smartphone,19323
428,LG,Moto G Power,Mobile Device,60394
429,Motorola,Pixel 5,Electronics,153916
430,LG,Galaxy S21,Electronics,28835
431,Nokia,Pixel 5,Mobile Device,111289
432,Sony,OnePlus 9,Smartphone,12490
433,Google,Nokia 8.3,Mobile Device,17066
434,Motorola,ZenFone 8,Mobile Device,63203
435,Motorola,iPhone 12,Mobile Device,84409
436,Samsung,Mi 11,Mobile Device,154808
437,LG,Mi 11,Mobile Device,146702
438,Google,ZenFone 8,Smartphone,199476
439,OnePlus,Moto G Power,Smartphone,41840
440,Huawei,LG V60 ThinQ,Mobile Device,41909
441,Nokia,Mi 11,Smartphone,152981
442,Nokia,LG V60 ThinQ,Electronics,81213
443,OnePlus,Pixel 5,Electronics,75798
444,Google,Pixel 5,Mobile Device,154203
445,Motorola,Mi 11,Mobile Device,46148
446,Xiaomi,ZenFone 8,Smartphone,94159
447,Google,OnePlus 9,Smartphone,64966
448,Samsung,Galaxy S21,Mobile Device,19436
449,Sony,Xperia 1 II,Electronics,198921
450,Sony,iPhone 12,Electronics,153376
451,Sony,Pixel 5,Electronics,76418
452,Google,Pixel 5,Smartphone,84432
453,OnePlus,OnePlus 9,Smartphone,140528
454,Xiaomi,OnePlus 9,Mobile Device,188801
455,LG,Pixel 5,Smartphone,164113
456,Xiaomi,ZenFone 8,Smartphone,133488
457,Xiaomi,Galaxy S21,Mobile Device,89170
458,Xiaomi,iPhone 12,Mobile Device,7359
459,Sony,OnePlus 9,Smartphone,79940
460,Huawei,Pixel 5,Electronics,10242
461,Google,Pixel 5,Smartphone,68171
462,Nokia,iPhone 12,Mobile Device,17360
463,OnePlus,OnePlus 9,Electronics,195494
464,Sony,OnePlus 9,Smartphone,158902
465,Huawei,iPhone 12,Mobile Device,180059
466,OnePlus,Moto G Power,Smartphone,138115
467,Apple,iPhone 12,Smartphone,88149
468,Samsung,Xperia 1 II,Smartphone,139790
469,LG,Pixel 5,Mobile Device,44701
470,Google,Nokia 8.3,Electronics,16751
471,LG,iPhone 12,Electronics,100611
472,Google,Pixel 5,Electronics,28715
473,Huawei,Nokia 8.3,Electronics,57602
474,Google,Xperia 1 II,Electronics,94360
475,Nokia,iPhone 12,Mobile Device,90216
476,OnePlus,LG V60 ThinQ,Mobile Device,44048
477,Huawei,Galaxy S21,Electronics,124494
478,Google,Nokia 8.3,Mobile Device,145976
479,Nokia,ZenFone 8,Mobile Device,137332
480,OnePlus,Xperia 1 II,Electronics,19165
481,Motorola,Xperia 1 II,Smartphone,132793
482,LG,Nokia 8.3,Electronics,179518
483,Apple,ZenFone 8,Electronics,52942
484,Apple,Moto G Power,Electronics,133079
485,Sony,LG V60 ThinQ,Electronics,89566
486,Xiaomi,OnePlus 9,Smartphone,72035
487,Huawei,Mi 11,Electronics,115263
488,Nokia,Moto G Power,Mobile Device,61785
489,Sony,Moto G Power,Electronics,111487
490,Sony,iPhone 12,Smartphone,118120
491,OnePlus,Xperia 1 II,Smartphone,15707
492,Sony,Pixel 5,Mobile Device,99989
493,Huawei,Moto G Power,Electronics,43492
494,Google,ZenFone 8,Electronics,89869
495,Huawei,Xperia 1 II,Electronics,37324
496,Samsung,Pixel 5,Smartphone,150772
497,Motorola,Pixel 5,Mobile Device,139329
498,Nokia,Galaxy S21,Smartphone,155426
499,Motorola,Mi 11,Smartphone,81598
500,LG,LG V60 ThinQ,Mobile Device,96685
501,Xiaomi,iPhone 12,Electronics,71074
502,Sony,Xperia 1 II,Smartphone,102802
503,Apple,Nokia 8.3,Mobile Device,136924
504,Motorola,Pixel 5,Electronics,91403
505,Xiaomi,iPhone 12,Electronics,187700
506,Sony,Mi 11,Mobile Device,188432
507,Huawei,OnePlus 9,Mobile Device,16471
508,Sony,OnePlus 9,Electronics,43237
509,Motorola,ZenFone 8,Mobile Device,154729
510,Sony,Mi 11,Smartphone,40258
511,Huawei,ZenFone 8,Mobile Device,104253
512,Google,Nokia 8.3,Mobile Device,118421
513,Google,Mi 11,Smartphone,29152
514,Sony,OnePlus 9,Smartphone,186683
515,Huawei,Moto G Power,Smartphone,177462
516,LG,iPhone 12,Smartphone,46101
517,Sony,ZenFone 8,Mobile Device,141447
518,Samsung,ZenFone 8,Electronics,21959
519,Xiaomi,Xperia 1 II,Mobile Device,171253
520,OnePlus,OnePlus 9,Mobile Device,103513
521,Samsung,Moto G Power,Smartphone,29666
522,Xiaomi,Nokia 8.3,Smartphone,33981
523,LG,OnePlus 9,Smartphone,30379
524,Huawei,ZenFone 8,Mobile Device,19061
525,Sony,Nokia 8.3,Smartphone,17669
526,Nokia,Moto G Power,Mobile Device,160277
527,Sony,LG V60 ThinQ,Electronics,197764
528,Huawei,iPhone 12,Smartphone,184592
529,Motorola,Xperia 1 II,Smartphone,62681
530,Xiaomi,iPhone 12,Electronics,160182
531,Sony,Xperia 1 II,Electronics,35450
532,Motorola,iPhone 12,Electronics,144459
533,LG,Mi 11,Electronics,16257
534,Apple,LG V60 ThinQ,Smartphone,94858
535,Sony,Pixel 5,Mobile Device,138327
536,Sony,iPhone 12,Electronics,155700
537,Nokia,Pixel 5,Electronics,169842
538,Motorola,Xperia 1 II,Electronics,47021
539,Motorola,LG V60 ThinQ,Mobile Device,113055
540,Apple,LG V60 ThinQ,Smartphone,75971
541,Samsung,LG V60 ThinQ,Mobile Device,88034
542,Motorola,Pixel 5,Smartphone,69927
543,Google,OnePlus 9,Electronics,71037
544,LG,Galaxy S21,Electronics,186732
545,LG,Galaxy S21,Smartphone,45448
546,Xiaomi,Nokia 8.3,Electronics,159110
547,Google,OnePlus 9,Smartphone,65826
548,LG,LG V60 ThinQ,Smartphone,121033
549,Nokia,Mi 11,Smartphone,52517
550,Huawei,Moto G Power,Mobile Device,149736
551,Xiaomi,OnePlus 9,Electronics,88300
552,Sony,Mi 11,Mobile Device,74907
553,Samsung,LG V60 ThinQ,Electronics,188748
554,Xiaomi,Pixel 5,Smartphone,41115
555,Motorola,Moto G Power,Electronics,146845
556,Motorola,ZenFone 8,Electronics,59744
557,Nokia,Moto G Power,Electronics,167674
558,Google,Galaxy S21,Electronics,195180
559,LG,Mi 11,Mobile Device,45226
560,Nokia,Moto G Power,Smartphone,134537
561,Samsung,iPhone 12,Mobile Device,50769
562,OnePlus,Xperia 1 II,Mobile Device,176079
563,Huawei,Moto G Power,Mobile Device,102300
564,Xiaomi,Moto G Power,Smartphone,107538
565,Google,ZenFone 8,Smartphone,162612
566,Motorola,Xperia 1 II,Mobile Device,109995
567,Nokia,Moto G Power,Smartphone,198819
568,Motorola,LG V60 ThinQ,Smartphone,16248
569,Samsung,Xperia 1 II,Electronics,42816
570,Motorola,Galaxy S21,Mobile Device,57629
571,Samsung,Nokia 8.3,Mobile Device,135163
572,Google,OnePlus 9,Electronics,142530
573,Nokia,LG V60 ThinQ,Electronics,180812
574,Sony,Pixel 5,Smartphone,22125
575,Samsung,OnePlus 9,Mobile Device,42402
576,Motorola,iPhone 12,Electronics,61824
577,Google,Nokia 8.3,Mobile Device,94200
578,Samsung,OnePlus 9,Mobile Device,176715
579,Sony,Mi 11,Electronics,168845
580,OnePlus,LG V60 ThinQ,Smartphone,136361
581,OnePlus,LG V60 ThinQ,Smartphone,163842
582,LG,Pixel 5,Mobile Device,84455
583,Apple,Nokia 8.3,Mobile Device,193052
584,Nokia,Galaxy S21,Smartphone,16284
585,Samsung,Pixel 5,Electronics,97835
586,Apple,Galaxy S21,Mobile Device,94234
587,Sony,Pixel 5,Mobile Device,112130
588,Huawei,iPhone 12,Smartphone,122245
